Date,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
2015-05-01,2,0,4,8,0,2,4,2,4,6,10,15,15,22,0,0,0,2,4,6,0,0,8,0,27,29,1,19,26,2,26,8,30,0,28,2,2,4,6,0
2015-05-02,2,0,3,5,2,3,3,1,3,11,11,10,15,11,0,0,2,4,2,6,6,6,6,0,22,22,1,20,17,1,27,6,23,2,23,4,2,2,8,6
2015-05-03,4,0,3,1,3,8,2,1,3,17,16,11,16,13,0,0,0,4,2,6,4,4,6,0,21,19,2,18,14,1,28,6,21,0,21,4,2,2,6,4
2015-05-04,4,2,1,6,0,1,1,1,5,13,13,12,13,9,0,0,2,8,4,8,6,6,8,2,26,26,2,20,17,1,26,8,27,2,27,8,2,4,9,6
2015-05-05,3,0,4,0,2,3,4,1,3,13,8,9,17,15,0,0,0,6,4,6,2,0,6,0,16,18,2,13,18,1,20,6,18,0,16,6,0,4,6,0
2015-05-06,2,2,1,6,0,6,6,2,4,15,19,16,19,11,0,0,2,2,2,4,2,2,4,2,28,28,2,19,14,2,29,4,28,2,28,2,2,2,4,2
2015-05-07,0,0,3,5,3,3,3,1,3,17,11,16,13,10,0,0,2,2,0,1,1,0,2,0,18,18,0,15,8,1,25,2,18,2,19,2,2,0,1,0
2015-05-08,2,4,5,3,2,5,3,2,2,16,18,18,16,18,0,0,2,6,2,6,4,2,8,4,29,29,2,21,20,2,33,8,29,2,29,6,2,2,6,2
2015-05-09,4,0,2,2,4,6,5,5,3,16,16,9,14,13,0,0,2,0,0,2,2,0,6,0,28,28,0,24,18,5,36,6,29,2,29,0,2,0,2,0
2015-05-10,1,0,2,9,2,3,7,3,3,18,7,19,14,14,0,0,4,6,4,8,8,6,8,0,30,30,3,21,21,3,32,8,32,4,32,6,6,4,10,6
2015-05-11,4,0,3,5,3,3,0,1,9,21,15,10,15,14,0,0,0,6,2,6,4,4,8,0,27,27,2,23,20,1,30,8,28,0,28,6,2,2,6,4
2015-05-12,3,0,2,2,1,5,5,7,5,10,10,20,19,18,0,0,4,4,6,6,4,4,8,0,37,39,3,20,23,7,26,8,41,4,39,4,4,6,8,4
2015-05-13,2,0,2,0,2,5,8,3,7,18,12,21,21,13,0,0,2,2,4,4,2,0,6,0,33,37,4,14,23,3,24,6,37,2,35,2,0,4,4,0
2015-05-14,1,0,3,2,3,5,1,3,4,10,18,18,18,20,1,1,0,2,2,5,1,0,6,0,35,35,1,24,20,3,31,6,36,0,36,2,2,2,5,0
2015-05-15,0,0,5,3,5,5,1,6,4,15,20,13,19,16,0,0,6,6,4,8,8,6,7,0,33,32,2,25,24,6,43,7,34,6,35,6,4,4,10,6
2015-05-16,5,2,6,4,3,4,3,9,7,12,19,19,20,13,0,0,0,2,0,1,1,0,5,1,33,34,1,19,21,9,34,5,35,0,34,2,2,0,1,0
2015-05-17,2,0,3,6,5,4,1,2,6,12,15,19,12,11,1,1,0,0,0,1,1,2,6,0,36,36,1,28,16,2,34,6,38,0,39,0,4,0,1,2
2015-05-18,0,0,5,4,5,7,6,2,5,17,15,11,23,16,0,0,0,2,0,2,2,2,2,0,26,26,0,17,20,2,30,2,26,0,26,2,0,0,2,2
2015-05-19,3,0,1,3,6,2,5,0,4,17,19,12,18,12,1,1,2,0,0,1,1,0,4,0,25,25,0,21,16,0,31,4,26,2,27,0,2,0,1,0
2015-05-20,4,0,2,3,6,6,3,3,3,16,12,10,17,16,0,0,2,2,4,2,2,2,4,0,27,29,1,18,20,3,29,4,30,2,28,2,2,4,3,2
2015-05-21,4,0,0,1,3,6,3,0,6,16,11,23,21,15,2,2,2,2,2,7,7,0,8,0,34,34,3,17,18,0,25,8,35,2,36,2,6,2,8,0
2015-05-22,1,0,3,5,4,7,3,0,9,11,13,14,14,13,1,1,2,2,2,5,5,2,6,0,26,28,0,16,15,0,26,6,28,2,28,2,0,2,5,2
2015-05-23,2,0,8,8,4,5,3,1,6,19,16,12,17,14,0,0,2,2,2,4,4,4,6,0,25,25,1,24,16,1,36,6,25,2,27,2,0,2,7,4
